                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.56099,                 0.4763,                 1.0758,                 0.8549,                0.86594,                0.92232,                0.75448,                0.76857,                0.77625,                  1.456,             0.00096215,             0.00096215,             0.00096215
                     35,                0.56545,                0.48697,                 1.0843,                0.74958,                0.72102,                0.78216,                0.61812,                0.88422,                 1.1118,                 1.5814,               0.000948,               0.000948,               0.000948
                     36,                0.56569,                0.48572,                 1.0861,                0.74416,                0.77687,                0.84939,                0.63837,                 1.0011,                 1.2229,                  1.694,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.5839,                0.52125,                 1.0924,                0.61065,                0.76416,                0.76908,                0.59596,                0.95025,                 1.5431,                 1.7571,              0.0009197,              0.0009197,              0.0009197
                     38,                0.53186,                0.43256,                 1.0618,                 0.8564,                0.90591,                0.93515,                0.72132,                0.85515,                0.70629,                 1.5545,             0.00090556,             0.00090556,             0.00090556
                     39,                 0.5331,                0.43373,                 1.0492,                0.75917,                0.83048,                0.89069,                 0.6897,                0.95502,                0.99582,                 1.7093,             0.00089141,             0.00089141,             0.00089141
                     40,                0.56758,                 0.4673,                 1.0829,                0.86106,                 0.8539,                0.91262,                0.71048,                0.98575,                0.82774,                  1.859,             0.00087726,             0.00087726,             0.00087726
                     41,                0.52868,                  0.431,                 1.0511,                 0.9178,                0.90713,                0.95717,                0.79871,                0.64711,                0.60166,                 1.3584,             0.00086312,             0.00086312,             0.00086312
                     42,                0.54298,                0.43631,                  1.052,                0.91788,                0.82029,                0.95145,                0.79231,                0.66824,                0.64305,                 1.4198,             0.00084897,             0.00084897,             0.00084897
                     43,                0.51608,                0.44719,                 1.0547,                0.88735,                 0.9154,                0.96385,                0.78978,                0.71748,                0.63279,                 1.4164,             0.00083482,             0.00083482,             0.00083482
                     44,                0.53386,                0.43227,                 1.0694,                0.84362,                0.77517,                0.88724,                0.77352,                 0.6449,                0.63548,                  1.336,             0.00082067,             0.00082067,             0.00082067
                     45,                0.53227,                0.44097,                 1.0604,                0.78126,                0.88655,                0.79451,                0.66096,                0.70176,                 0.7865,                 1.4419,             0.00080653,             0.00080653,             0.00080653
                     46,                0.51671,                0.43677,                 1.0604,                0.64676,                0.81925,                0.67415,                0.55263,                0.86723,                 1.2999,                 1.6253,             0.00079238,             0.00079238,             0.00079238
                     47,                0.49184,                0.40833,                 1.0377,                0.87584,                0.97101,                0.97825,                0.81071,                0.67847,                 0.5411,                 1.4125,             0.00077823,             0.00077823,             0.00077823
                     48,                0.51751,                0.41716,                 1.0535,                0.97958,                0.85478,                0.96611,                0.79655,                0.72903,                0.58985,                 1.4209,             0.00076409,             0.00076409,             0.00076409
                     49,                0.51389,                0.40549,                 1.0539,                 0.9136,                0.85896,                0.90928,                0.74292,                0.74116,                0.58333,                 1.4946,             0.00074994,             0.00074994,             0.00074994
                     50,                0.49871,                0.41256,                 1.0526,                 0.7259,                0.73913,                0.83508,                0.52841,                 1.2546,                 1.2711,                 1.9713,             0.00073579,             0.00073579,             0.00073579
                     51,                0.52291,                0.42199,                  1.056,                0.93996,                0.79683,                0.94953,                0.80721,                0.71263,                0.54115,                 1.4242,             0.00072164,             0.00072164,             0.00072164
                     52,                0.50137,                0.38152,                 1.0449,                0.86994,                 0.8862,                0.95208,                0.82211,                0.65044,                0.51073,                 1.3279,              0.0007075,              0.0007075,              0.0007075
                     53,                0.48894,                0.38583,                 1.0249,                 0.9484,                0.85145,                0.94817,                0.77856,                0.85018,                0.63579,                 1.5297,             0.00069335,             0.00069335,             0.00069335
                     54,                0.48182,                0.37374,                   1.02,                0.96915,                0.92947,                0.98494,                0.84451,                0.69708,                0.50833,                 1.3651,              0.0006792,              0.0006792,              0.0006792
                     55,                  0.497,                0.38558,                 1.0388,                0.94178,                0.91465,                0.98151,                0.84428,                0.63713,                0.54476,                 1.3508,             0.00066506,             0.00066506,             0.00066506
                     56,                0.47092,                0.39515,                 1.0244,                0.95976,                0.96238,                0.98859,                0.84776,                0.70171,                0.49887,                 1.4155,             0.00065091,             0.00065091,             0.00065091
                     57,                0.49094,                0.39301,                 1.0288,                0.82598,                0.96668,                0.94707,                0.82446,                0.62503,                0.49617,                  1.313,             0.00063676,             0.00063676,             0.00063676
                     58,                0.46009,                0.36265,                 1.0137,                0.69969,                0.83783,                0.80609,                0.68375,                0.70189,                 1.0726,                 1.4535,             0.00062262,             0.00062262,             0.00062262
                     59,                0.47894,                 0.3756,                 1.0484,                0.91384,                0.95928,                0.97739,                0.86531,                0.66079,                0.50208,                 1.3486,             0.00060847,             0.00060847,             0.00060847
                     60,                  0.455,                0.34316,                  1.011,                0.85893,                0.89072,                0.94627,                0.81718,                0.62822,                0.56187,                  1.327,             0.00059432,             0.00059432,             0.00059432
                     61,                0.48474,                0.36473,                 1.0267,                0.86814,                 0.8411,                 0.9556,                0.82444,                0.67676,                0.60692,                 1.3702,             0.00058017,             0.00058017,             0.00058017
